artist,track,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,energyLiveness
Gorillaz,Feel Good Inc.,Demon Days,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,3.7106666666666666,1.1500815660685155
Gorillaz,Rhinestone Eyes,Plastic Beach,0.676,0.703,-5.815,0.0302,0.0869,0.000687,0.0463,0.852,92.761,3.3362166666666666,15.183585313174945
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),0.695,0.923,-3.93,0.0522,0.0425,0.0469,0.116,0.551,108.014,3.585833333333333,7.956896551724138
Gorillaz,On Melancholy Hill,Plastic Beach,0.689,0.739,-5.81,0.026,1.51e-05,0.509,0.064,0.578,120.423,3.897783333333333,11.546875
Gorillaz,Clint Eastwood,Gorillaz,0.663,0.694,-8.627,0.171,0.0253,0.0,0.0698,0.525,167.953,5.682,9.94269340974212
Gorillaz,DARE,Demon Days,0.76,0.891,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,4.083333333333333,2.989932885906041
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],0.716,0.897,-7.185,0.0629,0.012,0.262,0.325,0.358,127.03,4.5690333333333335,2.76
Gorillaz,She's My Collar (feat. Kali Uchis),Humanz (Deluxe),0.726,0.815,-5.886,0.0313,0.00799,0.081,0.112,0.462,140.158,3.4926666666666666,7.2767857142857135
Gorillaz,Cracker Island (feat. Thundercat),Cracker Island (feat. Thundercat),0.741,0.913,-3.34,0.0465,0.00343,0.103,0.325,0.643,120.012,3.5625,2.809230769230769
Gorillaz,Dirty Harry,Demon Days,0.625,0.877,-7.176,0.162,0.0315,0.0811,0.672,0.865,192.296,3.840433333333333,1.3050595238095235
Red Hot Chili Peppers,Californication,Californication (Deluxe Edition),0.592,0.767,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,5.49555,6.039370078740157
Red Hot Chili Peppers,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,4.405116666666666,2.4468085106382977
Red Hot Chili Peppers,Can't Stop,By the Way (Deluxe Edition),0.618,0.938,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,4.483333333333333,5.616766467065868
Red Hot Chili Peppers,Scar Tissue,Californication (Deluxe Edition),0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,3.59845,6.638888888888888
Red Hot Chili Peppers,Otherside,Californication (Deluxe Edition),0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4.256216666666667,10.515873015873016
Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium,0.427,0.9,-3.674,0.0499,0.116,1.75e-05,0.119,0.599,104.655,5.5777833333333335,7.563025210084034
Red Hot Chili Peppers,Dani California,Stadium Arcadium,0.556,0.913,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,4.7026666666666666,2.6387283236994223
Red Hot Chili Peppers,By the Way,By the Way (Deluxe Edition),0.451,0.97,-4.938,0.107,0.0264,0.00355,0.102,0.198,122.444,3.61555,9.509803921568627
Red Hot Chili Peppers,Give It Away,Blood Sugar Sex Magik (Deluxe Edition),0.666,0.936,-9.919,0.0476,0.00244,0.086,0.153,0.776,91.577,4.715116666666667,6.11764705882353
Red Hot Chili Peppers,Dark Necessities,The Getaway,0.7,0.742,-6.777,0.0716,0.0722,0.0199,0.11,0.197,91.959,5.033333333333333,6.745454545454545
50 Cent,In Da Club,Get Rich Or Die Tryin',0.902,0.72,-2.776,0.347,0.26,0.0,0.0749,0.805,90.059,3.22445,9.612817089452603
50 Cent,Candy Shop,The Massacre,0.614,0.574,-7.961,0.466,0.0253,3.2e-05,0.38,0.755,125.173,3.485116666666667,1.5105263157894735
50 Cent,Just A Lil Bit,The Massacre,0.489,0.692,-6.672,0.41,0.0322,0.00608,0.315,0.527,96.946,3.961783333333333,2.196825396825397
50 Cent,P.I.M.P.,Get Rich Or Die Tryin',0.7,0.758,-3.012,0.342,0.0444,1.3e-05,0.0401,0.889,78.693,4.157783333333334,18.90274314214464
50 Cent,Many Men (Wish Death),Get Rich Or Die Tryin',0.653,0.826,-2.93,0.354,0.0153,0.00146,0.131,0.416,108.52,4.27045,6.305343511450381
50 Cent,Disco Inferno,The Massacre,0.925,0.659,-4.763,0.231,0.206,7.88e-05,0.279,0.71,97.018,3.57045,2.3620071684587813
50 Cent,21 Questions,Get Rich Or Die Tryin',0.576,0.807,-3.908,0.317,0.353,0.000363,0.0512,0.908,90.012,3.74045,15.76171875
50 Cent,Is This Love ('09) (feat. 50 Cent),Curtain Call 2,0.853,0.776,-4.221,0.261,0.0714,0.0,0.181,0.659,94.028,3.53355,4.287292817679559
50 Cent,If I Can't,Get Rich Or Die Tryin',0.892,0.631,-2.522,0.302,0.244,0.0,0.0235,0.838,93.975,3.277333333333333,26.851063829787236
50 Cent,Best Friend - Remix,Best Friend (Remix),0.545,0.64,-3.529,0.308,0.368,0.0,0.111,0.574,181.733,4.24155,5.7657657657657655
Metallica,Enter Sandman (Remastered),Metallica (Remastered),0.566,0.834,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296,5.526,13.344
Metallica,Nothing Else Matters (Remastered),Metallica (Remastered),0.547,0.394,-9.793,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,6.478883333333333,4.955974842767295
Metallica,Master of Puppets (Remastered),Master of Puppets (Remastered Deluxe Box Set),0.539,0.828,-9.108,0.035,0.00067,0.421,0.154,0.562,105.25,8.589783333333333,5.376623376623376
Metallica,Whiskey In The Jar,"Garage, Inc.",0.511,0.972,-3.751,0.0413,5.36e-06,0.00101,0.19,0.532,132.97,5.08155,5.11578947368421
Metallica,The Unforgiven (Remastered),Metallica (Remastered),0.531,0.583,-9.47,0.0256,0.0184,0.00624,0.255,0.207,139.503,6.4526666666666666,2.286274509803921
Metallica,One (Remastered),...And Justice for All (Remastered Deluxe Box Set),0.438,0.687,-9.15,0.0619,0.000668,0.0801,0.42,0.426,103.01,7.435766666666667,1.635714285714286
